Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
Carvyl propionate,as such,Carvyl propionate,97-45-0,202-583-9,C13H20O2,CCC(=O)OC1CC(CC=C1C)C(=C)C
Carvyl-3-methylbutyrate,as such,Carvyl-3-methylbutyrate,94386-39-7,305-261-7,C15H24O2,CC(C)CC(=O)OC1CC(CC=C1C)C(=C)C
Cassia gum (Cassia tora and Cassia obtusifolia),as such,Cassia gum (Cassia tora and Cassia obtusifolia),11078-30-1,234-299-6,,
Cedrenol,as such,Cedrenol,28231-03-0,248-917-7,C15H24O,CC1CCC2C(C)(C)C3CC12CC(O)C3=C
Cedrol,as such,Cedrol,77-53-2,201-035-6,C15H26O,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O
Cedryl acetate,as such,Cedryl acetate,77-54-3,201-036-1,,CC1CCC2C(C)(C)C3CC12CCC3(C)OC(=O)C
Cetyl Myristoleate Complex,=,Silicon dioxide,7631-86-9,231-545-4,O2Si,O=[Si]=O
Cetyl Myristoleate Complex,ca.,Cetylated fatty acids,90990-24-2,292-786-9,,
"Charcoal, activated",as such,"Charcoal, activated",64365-11-3,264-846-4,,
"Chelated forms of iron, copper, manganese and zinc with synthetic feed grade glycine",part of group assessment,"Cupric chelate of amino acids, hydrate",,,Cu(C2H5NO2)1-3 . nH2O,
"Chelated forms of iron, copper, manganese and zinc with synthetic feed grade glycine",part of group assessment,"Ferrous chelate of amino acids, hydrate",,,Fe(C2H5NO2)1-3 . nH2O,
"Chelated forms of iron, copper, manganese and zinc with synthetic feed grade glycine",part of group assessment,"Manganese chelate of amino acids, hydrate",,,Mn(C2H5NO2)1-3 . nH2O,
"Chelated forms of iron, copper, manganese and zinc with synthetic feed grade glycine",part of group assessment,"Zinc chelate of amino acids, hydrate",,,Zn(C2H5NO2)1-3 x nH2O,
Chia seeds and ground whole Chia seeds (Salvia hispanica L.),as such,Chia seeds and ground whole Chia seeds (Salvia hispanica L.),,,,
Chitin-glucan,part of,"Beta(1,3)-glucan",9041-22-9,,,
Chitin-glucan,part of,Chitin,1398-61-4,215-744-3,C30H50N4O19,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O
Chito-OligoSaccharides-Oligo-Galacturonic Acid (COS-OGA),as such,Chito-OligoSaccharides-Oligo-Galacturonic Acid (COS-OGA),,,,
Chito-OligoSaccharides-Oligo-Galacturonic Acid (COS-OGA) fornulation (FYTO11),active ingredient,Chito-OligoSaccharides-Oligo-Galacturonic Acid (COS-OGA),,,,
Chlorantraniliprole,as such,Chlorantraniliprole,500008-45-7,,C18H14BrCl2N5O2,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br
Chlorantraniliprole metabolite (IN-ECD73),as such,Chlorantraniliprole metabolite (IN-ECD73),,,C13H8Cl2N2O,Cc3cc(Cl)cc2c3N=C1C(Cl)=CC=CN1C2=O
Chlorantraniliprole metabolite (IN-ECD73),metabolite,Chlorantraniliprole,500008-45-7,,C18H14BrCl2N5O2,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br
Chlorantraniliprole metabolite (IN-EQW78),as such,Chlorantraniliprole metabolite (IN-EQW78),,,C18H12BrCl2N5O,Cc4cc(Cl)cc3c4N=C(c2cc(Br)nn2c1ncccc1Cl)N(C)C3=O
Chlorantraniliprole metabolite (IN-EQW78),metabolite,Chlorantraniliprole,500008-45-7,,C18H14BrCl2N5O2,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br
Chlorantraniliprole metabolite (IN-F6L99),as such,Chlorantraniliprole metabolite (IN-F6L99),,,C5H6BrN3O,O=C(NC)c1cc(Br)nn1
Chlorantraniliprole metabolite (IN-F6L99),metabolite,Chlorantraniliprole,500008-45-7,,C18H14BrCl2N5O2,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br
Chlorantraniliprole metabolite (IN-LBA24),as such,Chlorantraniliprole metabolite (IN-LBA24),,,C13H10BrClN4O,Brc1cc(nn1)C2=Nc3c(C)cc(Cl)cc3C(=O)N2C
Chlorantraniliprole metabolite (IN-LBA24),metabolite,Chlorantraniliprole,500008-45-7,,C18H14BrCl2N5O2,CC1=C(C(=CC(=C1)Cl)C(=O)NC)NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br
Chlorate,as such,Chlorate,,,Cl O3,[O-]Cl(=O)=O
Chlordane,ca.,Cis-chlordane,5103-71-9,225-825-5,C10H6Cl8,C1[C@H]2[C@@H]([C@H]([C@H]1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
Chlordane,ca.,Trans-chlordane,5103-74-2,225-826-0,C10H6Cl8,C1[C@H]2[C@@H]([C@H]([C@@H]1Cl)Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl
Chloridazon,as such,Chloridazon,1698-60-8,216-920-2,C10H8ClN3O,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2
Chloridazon formulation (BAS 119 33 H),active ingredient,Chloridazon,1698-60-8,216-920-2,C10H8ClN3O,NC1=C(Cl)C(=O)N(N=C1)c2ccccc2
Chloride,as such,Chloride,16887-00-6,,Cl-,[Cl-]
Chlorine,as such,Chlorine,7782-50-5,231-959-5,Cl2,ClCl
Chlorine dioxide,as such,Chlorine dioxide,10049-04-4,233-162-8,ClO2,
Chlorite,as such,Chlorite,14998-27-7,604-718-0,ClO2-,O=Cl[O-]
Chlormequat chloride,as such,Chlormequat chloride,999-81-5,213-666-4,,
Chlorophyllins E 140(ii),as such,Chlorophyllins E 140(ii),,,,
Chlorophyllins E 140(ii),part of,"3-Phorbinepropanoic acid, 21-carboxy-9-ethenyl-14-ethyl-13-formyl-4,8,18-trimethyl-20-oxo-, (3S,4S,21R)",72939-70-9,277-116-5,C34H32N4O6,CCC1=C2C=C3C(=C4C(=O)C(C(=C5C(C(C(=CC6=NC(=CC(=N2)C1=CO)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)O)C
Chlorophyllins E 140(ii),part of,C-13 (2)-carboxypyropheophorbide,72939-69-6,277-114-4,C34H34N4O5,CCC1=C(C2=NC1=CC3=C(C4=C(C(C(=C5C(C(C(=CC6=NC(=C2)C(=C6C)C=C)N5)C)CCC(=O)O)C4=N3)C(=O)O)O)C)C
Chlorophyllins E 140(ii),part of,Chlorin e6,19660-77-6,243-209-4,C34H36N4O6,CCC1=C(C2=CC3=C(C(=C(N3)C=C4C(C(C(=N4)C(=C5C(=C(C(=N5)C=C1N2)C)C(=O)O)CC(=O)O)CCC(=O)O)C)C)C=C)C
Chlorophyllins E 140(ii),part of,Chlorophyllin a,15611-43-5,,C34H31MgN4O6.3H,[H+].[H+].[H+].CCC1=C(C2=CC3=NC(=CC4=NC(=C(C5=NC(=C(C5=C([O-])[O-])C)C=C1[N-]2)CC(=O)[O-])C(C4C)CCC(=O)[O-])C(=C3C=C)C)C.[Mg+2]
Chlorophyllins E 140(ii),part of,Chlorophyllin b,13962-39-5,,C34H32MgN4O7,[H+].[H+].[H+].CCC1=C2C=C3C(=C(C(=C(C4=NC(=CC5=NC(=CC(=N2)C1=C[O-])C(=C5C)C=C)C(C4CCC(=O)[O-])C)CC(=O)[O-])[N-]3)C(=O)[O-])C.[Mg+2]
Chlorophyllins E 140(ii),part of,Rhodin g7,26677-12-3,247-898-2,C34H35N4O7,O=C(O)c2c(C)c1cc5nc(cc4[NH]c(cc3nc(c(CC(=O)O)c2[NH]1)[C@@H](CCC(=O)O)[C@@H]3C)c(C)c4C=C)C(C[O-])=C5CC
Chlorophylls E 140(i),as such,Chlorophylls E 140(i),1406-65-1,215-800-7,,
Chlorophylls E 140(i),part of group assessment,Chlorophyll a,479-61-8,207-536-6,C55H72MgN4O5,O=C(OC)C1C(=O)c2c(C)c3C=C6C(CC)=C(C)C=5C=C8C(C=C)=C(C)C7=CC9=N4C(=C1c2n3[Mg-2]4(N=56)N78)[C@@H](CCC(=O)OC\C=C(/C)CCC[C@@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]9C
Chlorophylls E 140(i),part of group assessment,Chlorophyll b,519-62-0,208-272-4,C55H70MgN4O6,O=C(OC)C1C(=O)c2c(C)c3C=C6C(CC)=C(CO)C=5C=C8C(C=C)=C(C)C7=CC9=N4C(=C1c2n3[Mg-2]4(N=56)N78)[C@@H](CCC(=O)OC\C=C(/C)CCC[C@@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]9C
Chlorophylls E 140(i),part of group assessment,Phaeophytin a,603-17-8,210-031-3,C55H74N4O5,O=C(OC)C3C(=O)c2c(C)c1cc6nc(cc5[NH]c(cc4nc(c3c2[NH]1)[C@@H](CCC(=O)OC\C=C(/C)CCC[C@@H](C)CCC[C@H](C)CCCC(C)C)[C@@H]4C)c(C)c5C=C)C(C)=C6CC
Chlorophylls E 140(i),part of group assessment,Phaeophytin b,3147-18-0,221-565-1,C55H72N4O6,CCC1=C2C=C3C(=C4C(=O)C(C(=C5C(C(C(=N5)C=C6C(=C(C(=CC(=C1C=O)N2)N6)C=C)C)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)C
Chlorothalonil,as such,Chlorothalonil,1897-45-6,217-588-1,C8Cl4N2,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
Chlorpropham,as such,Chlorpropham,,,,
Chlorpyrifos,as such,Chlorpyrifos,2921-88-2,220-864-4,C9H11Cl3NO3PS,S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC
Chlorpyrifos formulation,active ingredient,Chlorpyrifos,2921-88-2,220-864-4,C9H11Cl3NO3PS,S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC
Chlorpyrifos-methyl,as such,Chlorpyrifos-methyl,5598-13-0,227-011-5,C7H7Cl3NO3PS,COP(=S)(OC)OC1=NC(=C(C=C1Cl)Cl)Cl
Chlorsulfuron,as such,Chlorsulfuron,64902-72-3,265-268-5,C12H12ClN5O4S,Cc2nc(NC(=O)NS(=O)(=O)c1ccccc1Cl)nc(OC)n2
Chlorsulfuron formulation (Chlorsulfuron 75 WG),active ingredient,Chlorsulfuron,64902-72-3,265-268-5,C12H12ClN5O4S,Cc2nc(NC(=O)NS(=O)(=O)c1ccccc1Cl)nc(OC)n2
Chlorthal-dimethyl,as such,Chlorthal-dimethyl,1861-32-1,217-464-7,C10H6Cl4O4,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl
Choline,as such,Choline,139741-81-4,200-535-1,C5H14NO,OCC[N+](C)(C)C
Choline chloride,as such,Choline chloride,67-48-1,200-655-4,C5H14ClNO,C[N+](C)(C)CCO.[Cl-]
Choline-stabilised orthosilicic acid,part of,Choline chloride,67-48-1,200-655-4,C5H14ClNO,C[N+](C)(C)CCO.[Cl-]
Choline-stabilised orthosilicic acid,part of,Orthosilicic acid,10193-36-9,233-477-0,H4O4Si,O[Si](O)(O)O
Chromafenozide,as such,Chromafenozide,143807-66-3,,C24H30N2O3,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C
Chromafenozide metabolite (M 006),as such,Chromafenozide metabolite (M 006),,,,
Chromafenozide metabolite (M 006),metabolite,Chromafenozide,143807-66-3,,C24H30N2O3,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C
Chromafenozide metabolite (M 010),as such,Chromafenozide metabolite (M 010),,,C24H30N2O4,Cc1cc(cc(C)c1)C(=O)N(NC(=O)c3ccc2OCCC(O)c2c3C)C(C)(C)C
Chromafenozide metabolite (M 010),metabolite,Chromafenozide,143807-66-3,,C24H30N2O3,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C
Chromafenozide metabolite (M 023),as such,Chromafenozide metabolite (M 023),,,,
Chromafenozide metabolite (M 023),metabolite,Chromafenozide,143807-66-3,,C24H30N2O3,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C3=C(C=C2)OCCC3)C)C
Chromium (VI),as such,Chromium (VI),18540-29-9,,Cr+6,[Cr+6]
Chromium glycinate nicotinate chelate,as such,Chromium glycinate nicotinate chelate,,,,
Chromium nicotinate,part of,Chromium di-nicotinate,148485-16-9,,C12H15CrN2O8,C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].O.O.O.[OH-].[Cr+3]
Chromium nicotinate,part of,Chromium(III) picolinate,14639-25-9,,C18H12CrN3O6,C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].[Cr+3]
Chromium nitrate,as such,Chromium nitrate,7789-02-8,,CrN3O9,[Cr+3].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-]
Chromium propionate,as such,Chromium propionate,85561-43-9,,C9H15CrO6,
Chromium(III),as such,Chromium(III),16065-83-1,,Cr+3,[Cr+3]
Chromium(III) ethanolamine phosphate,as such,Chromium(III) ethanolamine phosphate,,,,
Chromium(III) lactate trihydrate,as such,Chromium(III) lactate trihydrate,,,C9 O12 Cr H21,[Cr+3].O.O.O.CC(O)C([O-])=O.[O-]C(=O)C(C)O.[O-]C(=O)C(C)O
Chromium(III) picolinate,as such,Chromium(III) picolinate,14639-25-9,,C18H12CrN3O6,C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].[Cr+3]
Chromium(III)-humic acid/fulvic acid chelate,as such,Chromium(III)-humic acid/fulvic acid chelate,,,,
Chromium-enriched biomass of the yeast Yarrowia lipolytica,as such,Chromium-enriched biomass of the yeast Yarrowia lipolytica,,,,
Ciguatoxins,part of group assessment,"2,3-Dihydroxy-ciguatoxin 3C",,,C57H84O18,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@]5(O4)CCCO5)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C\C[C@@H]9[C@@H](O8)/C=C\C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@H](O2
Ciguatoxins,part of group assessment,51-Hydroxy-ciguatoxin 3C,,,C57H82O17,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@]5(O4)C[C@@H](CO5)O)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C\C[C@@H]9[C@@H](O8)/C=C\C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[
Ciguatoxins,part of group assessment,Caribbean ciguatoxin 1,193363-37-0,,C62H92O19,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)C[C@@H]([C@]4([C@H](O3)C[C@]5([C@H](O4)CC[C@H]6[C@](O5)(CC[C@](O6)(CO)O)C)C)C)O)O[C@H]7C[C@@H]8[C@]([C@@H](C[C@@H]9[C@@H](O8)C/C=C/C[C@@H]2[C@@H](O9)/C=C\C[C@@H]3[C@@H](O2)C=C[C@@H]2[C@@H](O3)C[C@@H]3[C@@H](O2)C[C@@H]
Ciguatoxins,part of group assessment,Caribbean ciguatoxin 2,,,C62H92O19,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)C[C@@H]([C@]4([C@H](O3)C[C@]5([C@H](O4)CC[C@H]6[C@](O5)(CC[C@@](O6)(CO)O)C)C)C)O)O[C@H]7C[C@@H]8[C@]([C@@H](C[C@@H]9[C@@H](O8)C/C=C\C[C@@H]2[C@@H](O9)/C=C\C[C@@H]3[C@@H](O2)C=C[C@@H]2[C@@H](O3)C[C@@H]3[C@@H](O2)C[C@@H
Ciguatoxins,part of group assessment,Indian ocean ciguatoxin 1,524945-45-7,,,
Ciguatoxins,part of group assessment,Indian ocean ciguatoxin 2,524945-46-8,,,
Ciguatoxins,part of group assessment,Indian ocean ciguatoxin 3,524945-48-0,,,
Ciguatoxins,part of group assessment,Indian ocean ciguatoxin 4,524945-49-1,,,
Ciguatoxins,part of group assessment,Pacific ciguatoxin 1,11050-21-8,,C60H86O19,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@]5(O4)C[C@@H](CO5)O)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C\C[C@@H]9[C@@H](O8)C=C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@
Ciguatoxins,part of group assessment,Pacific ciguatoxin 2,142185-85-1,,C60H86O18,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@@]5(O4)CCCO5)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C/C[C@@H]9[C@@H](O8)C=C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@H](O2)C
Ciguatoxins,part of group assessment,Pacific ciguatoxin 3,139341-09-6,,C60H86O18,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@]5(O4)CCCO5)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C/C[C@@H]9[C@@H](O8)C=C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@H](O2)CC
Ciguatoxins,part of group assessment,Pacific ciguatoxin 3C,148471-85-6,,C57H82O16,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@]5(O4)CCCO5)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@H](C[C@@H]8[C@@H](O7)C/C=C/C[C@@H]9[C@@H](O8)/C=C\C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@H](O2)CC=CCO3)O)O)(O[C@@H]6C1)C
Ciguatoxins,part of group assessment,Pacific ciguatoxin 4A,66231-73-0,,C60H84O16,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@@]5(O4)CCCO5)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C/CC9C(O8)C=C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@H](O2)CC=C[C@@H](O3)/C=C/C=C)O)O)(O[C@@H]6C1)C
Ciguatoxins,part of group assessment,Pacific ciguatoxin 4B,123676-76-6,,C60H84O16,C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)[C@H]([C@@H]([C@H]4[C@H](O3)[C@H]([C@@H]([C@]5(O4)CCCO5)C)C)O)C)O[C@H]6C[C@@H]7[C@]([C@@H](C[C@@H]8[C@@H](O7)C/C=C\C[C@@H]9[C@@H](O8)C=C[C@@H]2[C@@H](O9)C=C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)[C@@H]([C@@H]3[C@@H](O2)CC=CC(O3)/C=C/C=C)O)O)(O[C@@H]6C1)C
Cinnamaldehyde,as such,Cinnamaldehyde,104-55-2,203-213-9,C9H8O,C1=CC=C(C=C1)C=CC=O
Cinnamaldehyde ethylene glycol acetal,as such,Cinnamaldehyde ethylene glycol acetal,5660-60-6,227-110-3,C11H12O2,C1COC(O1)\C=C\c2ccccc2
Cinnamic acid,as such,Cinnamic acid,621-82-9,210-708-3,C9H8O2,C(/C=C/C1C=CC=CC=1)(=O)O
Cinnamyl 2-methylcrotonate,as such,Cinnamyl 2-methylcrotonate,61792-12-9,263-215-0,C14H16O2,C\C=C(/C)\C(=O)OC\C=C\c1ccccc1
Cinnamyl acetate,as such,Cinnamyl acetate,103-54-8,203-121-9,C11H12O2,O=C(C)OCC=CC1=CC=CC=C1
Cinnamyl alcohol,as such,Cinnamyl alcohol,104-54-1,203-212-3,C9H10O,OCC=CC1=CC=CC=C1
Cinnamyl benzoate,as such,Cinnamyl benzoate,5320-75-2,226-180-2,C16H14O2,O=C(OC\C=C\c1ccccc1)c2ccccc2
Cinnamyl butyrate,as such,Cinnamyl butyrate,103-61-7,203-128-7,C13H16O2,CCCC(=O)OC\C=C\c1ccccc1
Cinnamyl cinnamate,as such,Cinnamyl cinnamate,122-69-0,204-566-1,,O=C(OCC=CC1=CC=CC=C1)C=CC2=CC=CC=C2
Cinnamyl formate,as such,Cinnamyl formate,104-65-4,203-223-3,C10H10O2,O=COC\C=C\c1ccccc1
Cinnamyl isobutyrate,as such,Cinnamyl isobutyrate,103-59-3,203-126-6,C13H16O2,O=C(C(C)C)OCC=CC1=CC=CC=C1
Cinnamyl isovalerate,as such,Cinnamyl isovalerate,140-27-2,205-407-9,C14H18O2,CC(C)CC(=O)OC\C=C\c1ccccc1
Cinnamyl phenylacetate,as such,Cinnamyl phenylacetate,7492-65-1,231-322-1,C17H16O2,O=C(Cc1ccccc1)OC\C=C\c2ccccc2
Cinnamyl propionate,as such,Cinnamyl propionate,103-56-0,203-124-5,C12H14O2,CCC(=O)OC\C=C\c1ccccc1
"Cis-1,2-Cyclohexanedicarboxylic acid, calcium salt",as such,"Cis-1,2-Cyclohexanedicarboxylic acid, calcium salt",491589-22-1,,C8H10CaO4,[Ca+2].O=C([O-])[C@H]1CCCC[C@H]1C([O-])=O
"Cis-2-butene-1,4-dial",as such,"Cis-2-butene-1,4-dial",6117-80-2,228-085-1,C4H8O2,C(/C=C\CO)O
"Cis-endo-bicyclo[2.2.1]heptane-2,3-dicarboxylic acid, disodium salt",as such,"Cis-endo-bicyclo[2.2.1]heptane-2,3-dicarboxylic acid, disodium salt",,,,
Cis-norbixin di-potassium salt,as such,Cis-norbixin di-potassium salt,33261-80-2,251-431-8,C24H26K2O4,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C(=O)[O-])/C)/C)/C=C/C=C(/C=C/C(=O)[O-])\C.[K+].[K+]
Citicoline,as such,Citicoline,987-78-0,213-580-7,C14H26N4O11P2,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](N1C=CC(N)=NC1=O)[C@H](O)[C@@H]2O
Citral,as such,Citral,5392-40-5,226-394-6,C10H16O,
Citral diethyl acetal,as such,Citral diethyl acetal,7492-66-2,231-323-7,C14H26O2,CCOC(/C=C(\C)CC\C=C(/C)C)OCC
Citral dimethyl acetal,as such,Citral dimethyl acetal,7549-37-3,231-434-0,,CC(=CCCC(=CC(OC)OC)C)C
Citranaxanthin,as such,Citranaxanthin,3604-90-8,222-762-5,C33H44O,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C(=O)C)/C)/C
Citric acid,as such,Citric acid,77-92-9,201-069-1,C6H8O7,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Citric acid and sodium hydrogen carbonate mixture,part of,Citric acid,77-92-9,201-069-1,C6H8O7,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Citric acid and sodium hydrogen carbonate mixture,part of,Sodium bicarbonate,144-55-8,205-633-8,CHNaO3,C(=O)(O)[O-].[Na+]
Citric acid esters of mono- and diglycerides of fatty acids (E 472c),as such,Citric acid esters of mono- and diglycerides of fatty acids (E 472c),,,,
Citrinin,as such,Citrinin,518-75-2,208-257-2,C13H14O5,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C
Citronella oil,<=,Citronellal,106-23-0,203-376-6,C10H18O,CC(CCC=C(C)C)CC=O
Citronella oil,<=,Citronellol,106-22-9,203-375-0,C10H20O,C[C@@H](CCO)CCC=C(C)C
Citronella oil,<=,Geraniol,106-24-1,203-377-1,C10H18O,CC(=CCCC(=CCO)C)C
Citronella oil,<=,Geranyl acetate,105-87-3,203-341-5,C12H20O2,CC(=CCCC(=CCOC(=O)C)C)C
Citronellal,as such,Citronellal,106-23-0,203-376-6,C10H18O,CC(CCC=C(C)C)CC=O
Citronellic acid,as such,Citronellic acid,502-47-6,207-939-7,C10H18O2,CC(CCC=C(C)C)CC(=O)O
Citronellol,as such,Citronellol,106-22-9,203-375-0,C10H20O,C[C@@H](CCO)CCC=C(C)C
Citronellyl 2-methylbut-2-enoate,as such,Citronellyl 2-methylbut-2-enoate,24717-85-9,246-426-2,C15H26O2,C\C=C(/C)\C(=O)OCCC(C)CCC=C(C)C
Citronellyl acetate,as such,Citronellyl acetate,150-84-5,205-775-0,C11H22O2,CC(CCOC(=O)C)CCC=C(C)C
Citronellyl butyrate,as such,Citronellyl butyrate,141-16-2,205-463-4,C14H26O2,CCCC(=O)OCCC(C)CCC=C(C)C
Citronellyl decanoate,as such,Citronellyl decanoate,72934-06-6,,C20H38O2,CCCCCCCCCC(=O)OCCC(C)CCC=C(C)C
Citronellyl dodecanoate,as such,Citronellyl dodecanoate,72934-07-7,,C22H42O2,CCCCCCCCCCCC(=O)OCCC(C)CCC=C(C)C
Citronellyl formate,as such,Citronellyl formate,105-85-1,203-338-9,C11H20O2,CC(CCC=C(C)C)CCOC=O
Citronellyl hexanoate,as such,Citronellyl hexanoate,10580-25-3,234-175-1,C16H30O2,CCCCCC(=O)OCCC(C)CCC=C(C)C
Citronellyl phenylacetate,as such,Citronellyl phenylacetate,139-70-8,205-373-5,C18H26O2,CC(CCOC(=O)Cc1ccccc1)CCC=C(C)C
Citronellyl propionate,as such,Citronellyl propionate,141-14-0,205-461-3,C13H24O2,CCC(=O)OCCC(C)CCC=C(C)C
Citropten,as such,Citropten,487-06-9,207-646-4,C11H10O4,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC
Class I Plain Caramel,as such,Class I Plain Caramel,,,,
Class II Caustic Sulphite Caramel,as such,Class II Caustic Sulphite Caramel,,,,
Class III Ammonia Caramel,as such,Class III Ammonia Caramel,8028-89-5,232-435-9,,
Class IV Sulphite Ammonia Caramel,as such,Class IV Sulphite Ammonia Caramel,,,,
Clethodim,as such,Clethodim,99129-21-2,,C17H26ClNO3S,CC/C(=N\OC\C=C\Cl)C1=C(O)CC(CC(C)SCC)CC1=O
Clinoptilolite,as such,Clinoptilolite,12173-10-3,215-283-8,"(Ca,K2,Na2,Mg)4Al8 Si40 O96 x 24H2O",O.O.O.[Na].[Al].[Si].[K].[Ca]
Clodinafop-propargyl,as such,Clodinafop-propargyl,105512-06-9,,C17H13ClFNO4,O=C(OCC#C)[C@H](OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C
